,Price (USD),Replies,Likes,Retweets,Tweets
2021-05-24,38349.0,65521.0,725402.0,119981.0,49532.0
2021-05-25,38663.57915565,41858.0,436035.0,76434.0,41743.0
2021-05-26,38932.39142434,45987.0,552968.0,99029.0,38878.0
2021-05-27,38642.0,38973.0,425616.0,71019.0,35188.0
2021-05-28,34956.0,50946.0,458402.0,120424.0,40407.0
2021-05-29,34411.0,41042.0,427323.0,70893.0,33392.0
2021-05-30,35766.0,39176.0,463073.0,67823.0,31417.0
2021-05-31,36996.0,46087.0,401462.0,89101.0,31878.0
2021-06-01,36299.09930157,47180.0,445780.0,114738.0,34098.0
2021-06-02,37467.0,36692.0,365246.0,70420.0,32451.0
2021-06-03,38977.14668646,38493.0,392176.0,86475.0,31713.0
2021-06-04,37179.0,134889.0,1144163.0,175722.0,54578.0
2021-06-05,35085.0,78159.0,951888.0,183660.0,48946.0
2021-06-06,35361.27269334,80825.0,899307.0,173370.0,53967.0
2021-06-07,34124.0,67706.0,862261.0,139287.0,53879.0
2021-06-08,33438.0,75585.0,866553.0,144424.0,57498.0
2021-06-09,37077.0,110829.0,1750470.0,303057.0,81307.0
2021-06-10,36736.0,82447.0,816240.0,153906.0,69663.0
2021-06-11,37450.0,54869.0,645642.0,115094.0,48245.0
2021-06-12,35622.0,43470.0,541122.0,117526.0,35942.0
2021-06-13,38818.19015958,55483.0,638273.0,110809.0,41149.0
2021-06-14,40237.57962233,59629.0,752927.0,121385.0,52720.0
2021-06-15,40150.0,49351.0,600113.0,111090.0,40857.0
2021-06-16,38574.98425645,45070.0,473906.0,105956.0,39396.0
2021-06-17,37839.0,45281.0,472343.0,106091.0,41317.0
2021-06-18,35473.0,51034.0,533513.0,124555.0,41175.0
2021-06-19,35680.0,34406.0,399490.0,81496.0,35988.0
2021-06-20,35712.0,40773.0,408080.0,72038.0,35624.0
2021-06-21,31695.72768548,62664.0,627764.0,107593.0,51854.0
2021-06-22,32394.0,73949.0,719799.0,122705.0,57331.0
2021-06-23,33467.0,47494.0,476929.0,102688.0,44389.0
2021-06-24,34713.0,46175.0,491891.0,108099.0,37439.0
2021-06-25,31372.0,61032.0,664663.0,126825.0,43466.0
2021-06-26,31846.0,41963.0,450112.0,82199.0,33748.0
2021-06-27,34265.39695127,44072.0,485599.0,99460.0,32618.0
2021-06-28,34428.48219863,46357.0,519332.0,110126.0,42995.0
2021-06-29,36142.0,46603.0,472188.0,90874.0,39711.0
2021-06-30,34888.36800874,37671.0,420023.0,77531.0,33678.0
2021-07-01,33588.84639428,54134.0,400772.0,106298.0,33568.0
